date,open,high,low,close,volume
2023-11-30,187.72,188.19,186.08,187.82,48794400
2023-12-01,188.2,189.42,187.11,189.1,45704800
2023-12-04,187.85,187.92,185.35,187.31,43389500
2023-12-05,188.08,192.22,188.05,191.26,66628400
2023-12-06,192.27,192.58,189.96,190.17,41089700
2023-12-07,191.46,192.82,191.42,192.1,47477700
2023-12-08,192.03,193.8,191.5,193.52,53406400
2023-12-11,190.95,191.32,189.28,191.02,60943700
2023-12-12,190.92,192.54,189.57,192.53,52696900
2023-12-13,192.91,195.78,192.67,195.74,70404200
2023-12-14,195.8,197.39,193.96,195.89,66831600
2023-12-15,195.32,196.18,194.8,195.36,128538400
2023-12-18,193.9,194.43,192.21,193.7,55751900
2023-12-19,193.96,194.75,193.7,194.74,40714100
2023-12-20,194.7,195.47,192.65,192.65,52242800
2023-12-21,193.91,194.87,191.33,192.5,46482500
2023-12-22,193.0,193.22,190.81,191.43,37149600
2023-12-26,191.44,191.72,190.67,190.89,28919300
2023-12-27,190.34,191.33,188.95,190.99,48087700
2023-12-28,191.97,192.48,191.01,191.41,34049900
2023-12-29,191.73,192.22,189.58,190.38,42672100
